Unnamed: 0,assists,bonus,bps,clean_sheets,creativity,element,expected_assists,expected_goal_involvements,expected_goals,expected_goals_conceded,fixture,goals_conceded,goals_scored,ict_index,influence,kickoff_time,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,selected,starts,team_a_score,team_h_score,threat,total_points,transfers_balance,transfers_in,transfers_out,value,was_home,yellow_cards,own_FDR,opp_FDR
12,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,121,0,0,0.0,0.0,2023-11-25T17:30:00Z,0,1,0,0,0,0,13,0,1291,0,1,0,0.0,0,-22,0,22,45,True,0,3,4
13,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,133,0,0,0.0,0.0,2023-12-02T15:00:00Z,0,12,0,0,0,0,14,0,1277,0,1,3,0.0,0,-16,0,16,45,True,0,3,2
14,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,142,0,0,0.0,0.0,2023-12-06T19:30:00Z,0,5,0,0,0,0,15,0,1269,0,1,2,0.0,0,-8,0,8,45,False,0,3,3
15,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,158,0,0,0.0,0.0,2023-12-09T15:00:00Z,0,17,0,0,0,0,16,0,1257,0,0,1,0.0,0,-12,0,12,45,False,0,3,2
16,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,163,0,0,0.0,0.0,2023-12-17T14:00:00Z,0,2,0,0,0,0,17,0,1241,0,2,1,0.0,0,-14,0,14,45,True,0,3,3
17,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,183,0,0,0.0,0.0,2023-12-27T19:30:00Z,0,20,0,0,0,0,19,0,1226,0,4,1,0.0,0,-7,0,7,45,True,0,3,2
18,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,192,0,0,0.0,0.0,2023-12-30T15:00:00Z,0,8,0,0,0,0,20,0,1212,0,1,3,0.0,0,-15,0,15,45,False,0,3,2
19,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,203,0,0,0.0,0.0,2024-01-20T17:30:00Z,0,16,0,0,0,0,21,0,1192,0,2,3,0.0,0,-19,0,19,45,True,0,3,2
20,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,216,0,0,0.0,0.0,2024-01-31T19:30:00Z,0,18,0,0,0,0,22,0,1180,0,2,3,0.0,0,-12,0,12,45,False,0,3,3
21,0,0,0,0,0.0,118,0.0,0.0,0.0,0.0,223,0,0,0.0,0.0,2024-02-05T20:00:00Z,0,13,0,0,0,0,23,0,1177,0,3,1,0.0,0,-5,0,5,45,True,0,3,5
0,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,82,0,0,0.0,0.0,2022-10-01T14:00:00Z,0,3,0,0,0,0,9,0,0,0,0,0,0.0,0,0,0,0,45,False,0,3,2
1,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,98,0,0,0.0,0.0,2022-10-08T14:00:00Z,0,15,0,0,0,0,10,0,434,0,1,5,0.0,0,339,383,44,45,False,0,3,4
2,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,102,0,0,0.0,0.0,2022-10-14T19:00:00Z,0,5,0,0,0,0,11,0,390,0,0,2,0.0,0,-81,130,211,45,True,0,3,3
3,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,113,0,0,0.0,0.0,2022-10-19T18:30:00Z,0,6,0,0,0,0,12,0,531,0,0,0,0.0,0,35,127,92,45,True,0,3,3
4,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,121,0,0,0.0,0.0,2022-10-23T13:00:00Z,0,2,0,0,0,0,13,0,520,0,0,4,0.0,0,2,105,103,45,False,0,3,2
5,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,133,0,0,0.0,0.0,2022-10-29T14:00:00Z,0,20,0,0,0,0,14,0,554,0,1,1,0.0,0,10,98,88,45,True,0,3,2
6,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,146,0,0,0.0,0.0,2022-11-05T15:00:00Z,0,16,0,0,0,0,15,0,533,0,2,2,0.0,0,-49,64,113,45,False,0,3,2
7,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,155,0,0,0.0,0.0,2022-11-12T12:30:00Z,0,13,0,0,0,0,16,0,623,0,2,1,0.0,0,58,159,101,45,False,0,3,5
8,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,163,0,0,0.0,0.0,2022-12-26T12:30:00Z,0,18,0,0,0,0,17,0,719,0,2,2,0.0,0,51,236,185,45,True,0,3,3
9,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,179,0,0,0.0,0.0,2022-12-30T19:45:00Z,0,19,0,0,0,0,18,0,738,0,2,0,0.0,0,-7,60,67,45,False,0,3,3
10,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,183,0,0,0.0,0.0,2023-01-02T17:30:00Z,0,12,0,0,0,0,19,0,732,0,1,3,0.0,0,-20,46,66,45,True,0,3,4
11,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,192,0,0,0.0,0.0,2023-01-14T17:30:00Z,0,3,0,0,0,0,20,0,751,0,0,2,0.0,0,-15,64,79,45,True,0,3,2
12,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,205,0,0,0.0,0.0,2023-01-22T14:00:00Z,0,11,0,0,0,0,21,0,728,0,0,0,0.0,0,-36,39,75,45,False,0,3,2
13,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,212,0,0,0.0,0.0,2023-02-04T15:00:00Z,0,17,0,0,0,0,22,0,757,0,0,3,0.0,0,3,65,62,44,True,0,3,2
14,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,221,0,0,0.0,0.0,2023-02-11T15:00:00Z,0,1,0,0,0,0,23,0,784,0,1,1,0.0,0,13,62,49,44,False,0,3,4
15,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,232,0,0,0.0,0.0,2023-02-18T15:00:00Z,0,7,0,0,0,0,24,0,809,0,1,1,0.0,0,5,50,45,44,True,0,3,2
16,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,253,0,0,0.0,0.0,2023-03-06T20:00:00Z,0,9,0,0,0,0,26,0,807,0,2,3,0.0,0,-17,31,48,44,True,0,3,2
17,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,263,0,0,0.0,0.0,2023-03-11T15:00:00Z,0,8,0,0,0,0,27,0,842,0,0,1,0.0,0,21,74,53,44,False,0,3,2
18,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,69,0,0,0.0,0.0,2023-03-15T19:30:00Z,0,17,0,0,0,0,27,0,842,0,2,0,0.0,0,21,74,53,44,False,0,3,2
19,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,273,0,0,0.0,0.0,2023-03-18T15:00:00Z,0,10,0,0,0,0,28,0,853,0,1,1,0.0,0,-20,42,62,44,True,0,3,3
20,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,283,0,0,0.0,0.0,2023-04-01T14:00:00Z,0,5,0,0,0,0,29,0,847,0,3,3,0.0,0,-10,36,46,44,False,0,3,3
21,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,247,0,0,0.0,0.0,2023-04-05T19:00:00Z,0,14,0,0,0,0,29,0,847,0,0,1,0.0,0,-10,36,46,44,False,0,3,4
22,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,292,0,0,0.0,0.0,2023-04-08T14:00:00Z,0,15,0,0,0,0,30,0,844,0,2,1,0.0,0,-6,23,29,44,True,0,3,3
23,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,310,0,0,0.0,0.0,2023-04-15T14:00:00Z,0,20,0,0,0,0,31,0,872,0,0,2,0.0,0,15,50,35,44,False,0,3,2
24,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,313,0,0,0.0,0.0,2023-04-22T14:00:00Z,0,2,0,0,0,0,32,0,923,0,1,1,0.0,0,20,44,24,44,True,0,3,2
25,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,328,0,0,0.0,0.0,2023-04-26T18:45:00Z,0,6,0,0,0,0,33,0,909,0,2,0,0.0,0,-4,25,29,44,False,0,3,4
26,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,333,0,0,0.0,0.0,2023-04-29T14:00:00Z,0,16,0,0,0,0,34,0,920,0,1,2,0.0,0,4,37,33,44,True,0,3,2
27,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,344,0,0,0.0,0.0,2023-05-06T16:30:00Z,0,12,0,0,0,0,35,0,947,0,0,1,0.0,0,21,58,37,44,False,0,3,4
28,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,353,0,0,0.0,0.0,2023-05-14T13:00:00Z,0,19,0,0,0,0,36,0,957,0,0,2,0.0,0,1,32,31,44,True,0,3,2
29,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,368,0,0,0.0,0.0,2023-05-20T11:30:00Z,0,18,0,0,0,0,37,0,1094,0,3,1,0.0,0,129,163,34,44,False,0,3,4
30,0,0,0,0,0.0,632,0.0,0.0,0.0,0.0,373,0,0,0.0,0.0,2023-05-28T15:30:00Z,0,13,0,0,0,0,38,0,1055,0,0,1,0.0,0,-51,60,111,44,True,0,3,5
